Country Name,Indicator Name,Indicator Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cote d'Ivoire,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.1065502166748,4.00059986114502,4.25833988189697,4.36057996749878,4.39844989776611,4.56262016296387,4.12951993942261,4.61273002624512,4.74306011199951,4.72938013076782,5.03422021865845
Cote d'Ivoire,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,,9.41854953765869,8.91781044006348,8.77849006652832,8.06916999816895,3.59932994842529,,8.61769962310791,8.68021011352539,9.15526962280273
Cote d'Ivoire,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,,,,,,,,29.2985992431641,,26.0704002380371,27.7570304870605
Cote d'Ivoire,Internet users (per 100 people),IT.NET.USER.P2,1.039238205,1.524900791,1.8,1.9,2.0,2.7,2.9,5.0,12.0,19.2742298,21.88520842
Cote d'Ivoire,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,26.9710597991943,27.0468196868896,35.3829383850098,33.5890808105469,,28.6941890716553,31.9705791473389,,32.521671295166,35.0145492553711
Cote d'Ivoire,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,2751518.0,2820398.0,2890690.0,2970607.0,3058787.0,3153606.0,3252169.0,3349234.0,3443853.0,3534225.0,3618487.0
Cote d'Ivoire,"Population of the official age for tertiary education, both sexes (number)",SP.TER.TOTL.IN,1607160.0,1632765.0,1664503.0,1700766.0,1741711.0,1787917.0,1840118.0,1900538.0,1965153.0,2033406.0,2104678.0
Cote d'Ivoire,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,1098420.0,1124789.0,1150328.0,1179685.0,1212907.0,1250032.0,1290855.0,1333139.0,1377609.0,1423864.0,1469505.0
Cote d'Ivoire,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,48.30996,,53.02069,
Cameroon,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,,,,,,,,,19.2967491149902,18.5063304901123,
Cameroon,GDP per capita (current US$),NY.GDP.PCAP.CD,1030.03819294642,1081.36983060812,1215.80821289835,1396.82498760165,1338.88437707877,1309.12220801948,1429.64755266211,1380.50984820072,1493.74656747065,1571.18253466367,1353.92448961447
Cameroon,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.1230800151825,2.95489001274109,3.36702990531921,2.96932005882263,3.47274994850159,3.31309008598328,3.06405997276306,2.96862006187439,3.02990007400513,,
Cameroon,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,5.80821990966797,6.75809001922607,7.2037501335144,7.81625986099243,8.96290969848633,11.0382404327393,11.9260301589966,12.914210319519,15.0582399368286,16.0061206817627,17.4778995513916
Cameroon,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,19.1295394897461,14.7961301803589,21.8323593139648,27.0585193634033,28.4994602203369,,32.5017318725586,35.938648223877,42.3226585388184,41.6311798095703,43.4091606140137
Cameroon,Internet users (per 100 people),IT.NET.USER.P2,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.21487223,20.68014766
Cameroon,"Lower secondary completion rate, both sexes (%)",SE.SEC.CMPT.LO.ZS,,18.2339096069336,19.6030502319336,25.8271999359131,24.276309967041,,39.9409408569336,,41.0901298522949,35.6770782470703,45.5544090270996
Cameroon,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,2943242.0,3014454.0,3075547.0,3137339.0,3200729.0,3265398.0,3331068.0,3395164.0,3466109.0,3544303.0,3630074.0
